"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Region = S. and SE. Asia and Indian Ocean""]"																																						
	1869	1	10			0			"INDIA:  ASSAM:  CACHAR,SILCHAR"	24.5	92.5				2	1						3		4		3	2	1						3		4		3
	1869	7	7						"NEPAL:  KATHMANDU"	27.7	85.3		6.5			3						4		4		4		3						4		4		
	1874	5					5284		"BANGLADESH:  BHOLA"	22	89																2000	4										
	1875	10	25						"INDONESIA:  W JAVA:  KUNINGAN"	-6.9	108.3			8	7	1						3			1001	4	7	1						3			1001	4
	1881	12	31				1128		"INDIA:  ANDAMAN I,NICOBAR I"	8.52	92.43		7.9									3				3								3				3
	1882	1					1130		"SRI LANKA:  TRINCOMALEE"	8.567	81.233																											
	1885	5	30						"INDIA:  KASHMIR:  SRINAGAR"	34.5	74.68		6.3		3000	4						4		4		4	3000	4						4		4		4
	1885	6	6			0			"INDIA:  KASHMIR"	34	76											3																
	1885	7	14						"BANGLADESH:"	24.8	89.5		6.9	7	75	2						2		4			75	2						2		4		
	1885	7	29				1154		"INDONESIA:  SUMATRA:  AJERBANGIS"	0	99.5		6.8																									
	1885	12	14				1160		"INDONESIA:  BANDA ATJEH"	5.55	95.3																											
	1886	1	31				1162		"INDONESIA:  KOETA RADJA (ATJEH)"	5.6	95.3																											
	1887	5	19				1163		"INDONESIA:  SUMATRA:  ACEH:  SIGLI"	5.4	96																											
	1888	3	21				1176		"INDONESIA:  SUMATERA:  BREUEH ISLAND"	5.8	95																											
	1889	11	23				1184		"INDONESIA:  MADURA ISLAND, JAVA"	-7	113.5		6																									
	1890	12	12						"INDONESIA:  JAVA:  PATI"	-6.76	111.04			8		2						2		3				2						2		3		
	1891	5	19				1185		"INDONESIA:  SUMATRA:  ACEH:  SIGLI"	5.4	96																											
	1891	10	5				1190		"TIMOR SEA"	-9	124	80	7																									
	1892	5	17	12	10		1196		"INDONESIA:  SUMATRA:  PADANGSIDIMPUAN, LAKE TOBA"	2.5	99.5			6								2		3		3								2		3		
	1892	12	20			0			"PAKISTAN:  CHAMAN,BALUCHISTAN"	30.5	66.2											3																
	1895								"MYANMAR (BURMA):  RANGOON"	16.8	96.2											2												2				
	1896	4	18						"INDONESIA:  TIMOR:  ALOR ISLAND"	-8.25	124.75			8	250	3						2		3			250	3						2		3		
	1896	10	10				1235		"INDONESIA:  SW. SUMATRA, JAVA"	-3.5	102.5	130	6.8									1				1								1				1
	1897	3	15				1238		"INDONESIA:  KAJUADI ISLAND"	-6.8	120.8	15	5.5																									
	1897	6	12	11	6		5262		"INDIA:  ASSAM; BANGLADESH"	26	91	33	8	10	1542	4						4		4		4	1542	4						4		4		4
	1899	1	29				4862		"AUSTRALIA:  POINT CHARLES, DARWIN"	-12.4	130.7																											
	1900	1	14						"INDONESIA:  JAVA:  SUKABUMI"	-6.84	106.96			7								2				3								2				3
	1903	2	27	0	43	18			"INDONESIA:  S OF JAVA"	-8	106		8.1																									
	1904	9	7				1318		"INDONESIA:  S. JAVA"	-7.7	109																											
	1905	4	4	0	50	0	1322		"INDIA:  KANGRA"	33	76	25	7.8	10	19000	4						4					19000	4						4				
	1906	11	19	7	18	0			"AUSTRALIA:  WEST COAST"	-22	109		7.8																									
	1907	1	4	5	19	12	1349		"INDONESIA:  NW SUMATRA:  GUNUNGSITOLi, BARUS"	2	94.5	50	7.8									3		3		3	400	3						3		3		
	1908	2	6				1367		"SW. SUMATRA"	-2	100	130	7.5																									
	1908	3	23	12	20		1369		"INDONESIA:  TIMOR"	-10	129		6.6									1												1				
	1908	12	12						"MYANMAR (BURMA):  KACHIN"	26.639	96.866	15	7.2																									
	1909	6	3	18	40	48	1376		"INDONESIA:  SW SUMATRA:  KERINTJI, REDJANGLEBONG"	-2	101	40	7.6			3						3		3		3		3						3		3		
	1909	7	8	2	30				"PAKISTAN"	35.5	72.5				10	1						1																
	1909	10	20	23	41	0			"PAKISTAN"	30	68	60	7.2		231	3						2																
	1912	5	23	2	24	6			"MYANMAR (BURMA):  MANDALAY, MOGOK, MAYMYO"	21	97	25	8	9		1						3																
